type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,1/25/2024 6:06,24.85038667,67.004255,1.1,11.1,,0,,19,37,,
T,1/25/2024 6:06,24.85038667,67.004255,1.1,11.1,,0,,19,37,,
T,1/25/2024 6:07,24.85038667,67.004255,1.1,11.1,,0,,19,37,,
T,1/25/2024 6:07,24.85038667,67.004255,1.1,11.1,,0,,19,37,,
T,1/25/2024 6:07,24.85038667,67.004255,1.7,11.1,,0,,19,37,,
T,1/25/2024 6:07,24.85038667,67.004255,2,11.1,,0,,18,37,,
T,1/25/2024 6:07,24.85038667,67.004255,2.3,11.1,,0,,18,37,,
T,1/25/2024 6:07,24.85038667,67.004255,2.4,11.1,,0,,18,37,,
T,1/25/2024 6:07,24.85038667,67.004255,2.5,11.1,,0,,18,37,,
T,1/25/2024 6:07,24.85038667,67.004255,2.5,11.1,,0,,18,37,,
T,1/25/2024 6:07,24.850395,67.004275,2.5,10.1,,0.286,354,18,37,,
T,1/25/2024 6:07,24.8504,67.00427167,2.5,9.9,,0.321,357,17,37,,
T,1/25/2024 6:07,24.85041333,67.00428167,2.5,9.5,,0.454,3,18,37,,
T,1/25/2024 6:07,24.85042,67.00428,2.5,9.1,,0.492,319,19,37,,
T,1/25/2024 6:07,24.85043167,67.00427833,2.4,8.7,,0.473,105,19,37,,
T,1/25/2024 6:07,24.85044167,67.00428,2.4,8.5,,0.468,7,19,38,,
T,1/25/2024 6:07,24.850455,67.00428167,2.3,8.1,,0.502,353,19,38,,
T,1/25/2024 6:07,24.85046667,67.00428167,2.2,7.7,,0.538,346,19,38,,
T,1/25/2024 6:07,24.850475,67.00427667,2.1,7.3,,0.588,342,19,38,,
T,1/25/2024 6:07,24.850485,67.004265,2.1,7.1,,0.638,333,19,38,,
T,1/25/2024 6:07,24.85049167,67.004255,2.1,6.9,,0.704,328,19,38,,
T,1/25/2024 6:07,24.8505,67.00424667,2,6.8,,0.766,330,19,38,,
T,1/25/2024 6:07,24.85051,67.00423667,2.1,6.4,,0.73,330,19,38,,
T,1/25/2024 6:07,24.85051,67.00422833,2,6.4,,0.767,328,19,38,,
T,1/25/2024 6:07,24.85051,67.00422667,2,6.4,,0.851,344,19,38,,
